AT1G15750	gene:2036203	AT1G15750.1	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	yeast two-hybrid assay	AGI_LocusCode:AT2G28550	Publication:501745851|PMID:22065421  	bcausier	2011-12-22
AT3G50330	locus:2074865	AT3G50330	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	transcription,DNA-dependent	TAS	inferred by author, from sequence similarity		Publication:1345963|PMID:11118137  	TAIR	2011-03-18
AT3G50330	locus:2074865	AT3G50330	involved in	transcription, DNA-templated	GO:0006351	7470	P	transcription,DNA-dependent	IEA	none	UniProtKB-KW:KW-0804	AnalysisReference:501756968		2016-08-01
AT3G50330	locus:2074865	AT3G50330	involved in	transmitting tissue development	GO:0010500	28854	P	developmental processes	IGI	triple mutant analysis	AGI_LocusCode:AT5G67060|AGI_LocusCode:AT5G09750	Publication:501723168|PMID:17855426  	TAIR	2011-03-18
AT3G50330	locus:2074865	AT3G50330	located in	nucleus	GO:0005634	537	C	nucleus	IEA	none	UniProtKB-SubCell:SL-0191	AnalysisReference:501756971		2016-08-01
AT3G61630	locus:2076720	AT3G61630	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:AT4G11140	Publication:501742993|PMID:21705390  	arashotte	2011-06-29
AT4G11140	gene:2136077	AT4G11140.1	located in	nucleus	GO:0005634	537	C	nucleus	ISM	predicted protein features		AnalysisReference:501750651	rkaundal	2012-08-31
AT4G11140	locus:2136078	AT4G11140	functions in	DNA binding	GO:0003677	961	F	DNA or RNA binding	ISS	manually reviewed TIGR computational analysis	INTERPRO:IPR001471	Communication:501714663	TIGR	2002-10-28
AT4G11140	locus:2136078	AT4G11140	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:AT2G46310	Publication:501742993|PMID:21705390  	arashotte	2011-06-29
AT4G11140	locus:2136078	AT4G11140	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:AT3G61630	Publication:501742993|PMID:21705390  	arashotte	2011-06-29
AT4G11140	locus:2136078	AT4G11140	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:AT4G11140	Publication:501742993|PMID:21705390  	arashotte	2011-06-29
AT4G11140	locus:2136078	AT4G11140	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:AT4G23750	Publication:501742993|PMID:21705390  	arashotte	2011-06-29
AT4G11140	locus:2136078	AT4G11140	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:AT4G27950	Publication:501742993|PMID:21705390  	arashotte	2011-07-01
AT4G11140	locus:2136078	AT4G11140	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:AT5G53290	Publication:501742993|PMID:21705390  	arashotte	2011-06-29
AT4G11140	locus:2136078	AT4G11140	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:At1g22985	Publication:501742993|PMID:21705390  	arashotte	2011-06-29
AT4G11140	locus:2136078	AT4G11140	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:At1g71130	Publication:501742993|PMID:21705390  	arashotte	2011-06-29
AT4G11140	locus:2136078	AT4G11140	has	DNA binding	GO:0003677	961	F	DNA or RNA binding	IEA	none	UniProtKB-KW:KW-0238	AnalysisReference:501756968		2016-11-07
AT4G11140	locus:2136078	AT4G11140	has	protein binding	GO:0005515	3877	F	protein binding	IPI	none	UniProtKB:O82339	Publication:501742993|PMID:21705390  		2016-11-03
AT4G11140	locus:2136078	AT4G11140	has	protein binding	GO:0005515	3877	F	protein binding	IPI	none	UniProtKB:Q9FK12	Publication:501742993|PMID:21705390  		2016-11-03
AT4G11140	locus:2136078	AT4G11140	has	protein binding	GO:0005515	3877	F	protein binding	IPI	none	UniProtKB:Q9SUE3	Publication:501742993|PMID:21705390  		2016-11-03
AT4G11140	locus:2136078	AT4G11140	has	protein binding	GO:0005515	3877	F	protein binding	IPI	none	UniProtKB:Q9SUQ2	Publication:501742993|PMID:21705390  		2016-11-03
AT4G11140	locus:2136078	AT4G11140	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	Recognized domains		Publication:1345963|PMID:11118137  	TAIR	2003-06-06
AT4G11140	locus:2136078	AT4G11140	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	manually reviewed TIGR computational analysis	INTERPRO:IPR001471	Communication:501714663	TIGR	2002-10-28
AT4G11140	locus:2136078	AT4G11140	involved in	cotyledon development	GO:0048825	23442	P	developmental processes	IMP	mutant growth experiment with supplementation of substrates		Publication:501719226|PMID:16832061  	TAIR	2006-08-21
AT4G11140	locus:2136078	AT4G11140	involved in	cytokinin-activated signaling pathway	GO:0009736	11417	P	other cellular processes	IEA	none	UniProtKB-KW:KW-0932	AnalysisReference:501756968		2016-08-01
AT4G11140	locus:2136078	AT4G11140	involved in	cytokinin-activated signaling pathway	GO:0009736	11417	P	signal transduction	IEA	none	UniProtKB-KW:KW-0932	AnalysisReference:501756968		2016-08-01
AT4G11140	locus:2136078	AT4G11140	involved in	ethylene-activated signaling pathway	GO:0009873	8852	P	other cellular processes	IEA	none	UniProtKB-KW:KW-0936	AnalysisReference:501756968		2016-08-01
AT4G11140	locus:2136078	AT4G11140	involved in	ethylene-activated signaling pathway	GO:0009873	8852	P	signal transduction	IEA	none	UniProtKB-KW:KW-0936	AnalysisReference:501756968		2016-08-01
AT4G11140	locus:2136078	AT4G11140	involved in	leaf development	GO:0048366	18907	P	developmental processes	IMP	analysis of visible trait		Publication:501719226|PMID:16832061  	TAIR	2006-08-21
AT4G11140	locus:2136078	AT4G11140	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other cellular processes	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT4G11140	locus:2136078	AT4G11140	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other cellular processes	ISS	manually reviewed TIGR computational analysis	INTERPRO:IPR001471	Communication:501714663	TIGR	2002-10-28
AT4G11140	locus:2136078	AT4G11140	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other metabolic processes	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT4G11140	locus:2136078	AT4G11140	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other metabolic processes	ISS	manually reviewed TIGR computational analysis	INTERPRO:IPR001471	Communication:501714663	TIGR	2002-10-28
AT4G11140	locus:2136078	AT4G11140	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	transcription,DNA-dependent	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT4G11140	locus:2136078	AT4G11140	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	transcription,DNA-dependent	ISS	manually reviewed TIGR computational analysis	INTERPRO:IPR001471	Communication:501714663	TIGR	2002-10-28
AT4G11140	locus:2136078	AT4G11140	involved in	transcription factor import into nucleus	GO:0042991	17647	P	transport	IDA	localization of GFP/YFP fusion protein		Publication:501719226|PMID:16832061  	TAIR	2006-08-21
AT4G11140	locus:2136078	AT4G11140	involved in	transcription, DNA-templated	GO:0006351	7470	P	transcription,DNA-dependent	IEA	none	UniProtKB-KW:KW-0804	AnalysisReference:501756968		2016-08-01
AT4G11140	locus:2136078	AT4G11140	located in	cytoplasm	GO:0005737	231	C	other cytoplasmic components	IEA	none	UniProtKB-SubCell:SL-0086	AnalysisReference:501756971		2016-08-01
AT4G11140	locus:2136078	AT4G11140	located in	nucleus	GO:0005634	537	C	nucleus	IEA	none	UniProtKB-SubCell:SL-0191	AnalysisReference:501756971		2016-08-01
AT4G11140	locus:2136078	AT4G11140	located in	nucleus	GO:0005634	537	C	nucleus	ISS	manually reviewed TIGR computational analysis	GO:0003700	Communication:501714663	TIGR	2004-02-09
AT4G17460	locus:2129061	AT4G17460	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	yeast two-hybrid assay	AGI_LocusCode:AT3G50330	Publication:501748051|PMID:22409594  	folter	2012-04-12
AT4G17500	gene:2129115	AT4G17500.1	located in	nucleus	GO:0005634	537	C	nucleus	ISM	predicted protein features		AnalysisReference:501750651	rkaundal	2012-08-31
AT4G17500	locus:2129116	AT4G17500	functions in	DNA binding	GO:0003677	961	F	DNA or RNA binding	TAS	none		Publication:665|PMID:10715325  	TIGR	2003-04-17
AT4G17500	locus:2129116	AT4G17500	has	DNA binding	GO:0003677	961	F	DNA or RNA binding	IEA	none	UniProtKB-KW:KW-0238	AnalysisReference:501756968		2016-08-01
AT4G17500	locus:2129116	AT4G17500	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	Recognized domains		Publication:1345963|PMID:11118137  	TAIR	2003-06-06
AT4G17500	locus:2129116	AT4G17500	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	TAS	none		Publication:665|PMID:10715325  	TIGR	2003-04-17
AT4G17500	locus:2129116	AT4G17500	involved in	cell division	GO:0051301	20664	P	other cellular processes	IEP	Transcript levels (e.g. RT-PCR)		Publication:501754879|PMID:23166504  	petchells	2014-08-13
AT4G17500	locus:2129116	AT4G17500	involved in	defense response	GO:0006952	5542	P	response to stress	IEA	none	UniProtKB-KW:KW-0611	AnalysisReference:501756968		2016-08-01
AT4G17500	locus:2129116	AT4G17500	involved in	ethylene-activated signaling pathway	GO:0009873	8852	P	other cellular processes	IEA	none	UniProtKB-KW:KW-0936	AnalysisReference:501756968		2016-08-01
AT4G17500	locus:2129116	AT4G17500	involved in	ethylene-activated signaling pathway	GO:0009873	8852	P	signal transduction	IEA	none	UniProtKB-KW:KW-0936	AnalysisReference:501756968		2016-08-01
AT4G17500	locus:2129116	AT4G17500	involved in	positive regulation of transcription, DNA-templated	GO:0045893	12513	P	other cellular processes	IDA	none		Publication:665|PMID:10715325  	TIGR	2011-06-03
AT4G17500	locus:2129116	AT4G17500	involved in	positive regulation of transcription, DNA-templated	GO:0045893	12513	P	other metabolic processes	IDA	none		Publication:665|PMID:10715325  	TIGR	2011-06-03
AT4G17500	locus:2129116	AT4G17500	involved in	positive regulation of transcription, DNA-templated	GO:0045893	12513	P	transcription,DNA-dependent	IDA	none		Publication:665|PMID:10715325  	TIGR	2011-06-03
AT4G17500	locus:2129116	AT4G17500	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other cellular processes	IDA	none		Publication:665|PMID:10715325  	TIGR	2003-04-17
AT4G17500	locus:2129116	AT4G17500	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other cellular processes	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT4G17500	locus:2129116	AT4G17500	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other metabolic processes	IDA	none		Publication:665|PMID:10715325  	TIGR	2003-04-17
AT4G17500	locus:2129116	AT4G17500	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other metabolic processes	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT4G17500	locus:2129116	AT4G17500	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	transcription,DNA-dependent	IDA	none		Publication:665|PMID:10715325  	TIGR	2003-04-17
AT4G17500	locus:2129116	AT4G17500	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	transcription,DNA-dependent	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT4G17500	locus:2129116	AT4G17500	involved in	response to chitin	GO:0010200	17780	P	other biological processes	IEP	Transcript levels (e.g. RT-PCR)		Publication:501722879|PMID:17722694  	TAIR	2008-08-08
AT4G17500	locus:2129116	AT4G17500	involved in	transcription, DNA-templated	GO:0006351	7470	P	transcription,DNA-dependent	IEA	none	UniProtKB-KW:KW-0804	AnalysisReference:501756968		2016-08-01
AT4G17500	locus:2129116	AT4G17500	involved in	vasculature development	GO:0001944	19952	P	developmental processes	IEP	Transcript levels (e.g. RT-PCR)		Publication:501754879|PMID:23166504  	petchells	2017-04-11
AT4G17500	locus:2129116	AT4G17500	located in	nuclear pore	GO:0005643	522	C	nucleus	ISS	none	GO:0003700	Publication:665|PMID:10715325  	TIGR	2003-04-17
AT4G17500	locus:2129116	AT4G17500	located in	nuclear pore	GO:0005643	522	C	other intracellular components	ISS	none	GO:0003700	Publication:665|PMID:10715325  	TIGR	2003-04-17
AT4G17500	locus:2129116	AT4G17500	located in	nucleus	GO:0005634	537	C	nucleus	IEA	none	UniProtKB-SubCell:SL-0191	AnalysisReference:501756971		2016-08-01
AT4G23750	locus:2128429	AT4G23750	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:AT4G11140	Publication:501742993|PMID:21705390  	arashotte	2011-06-29
AT4G27950	locus:2132962	AT4G27950	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:AT4G11140	Publication:501742993|PMID:21705390  	arashotte	2011-06-29
AT4G31550	gene:1005027775	AT4G31550.2	located in	nucleus	GO:0005634	537	C	nucleus	ISM	predicted protein features		AnalysisReference:501750651	rkaundal	2012-08-31
AT4G31550	gene:2125238	AT4G31550.1	located in	nucleus	GO:0005634	537	C	nucleus	ISM	predicted protein features		AnalysisReference:501750651	rkaundal	2012-08-31
AT4G31550	locus:2125239	AT4G31550	functions in	calmodulin binding	GO:0005516	1783	F	protein binding	IDA	in vitro binding assay		Publication:501714937|PMID:15733871  	TAIR	2006-10-04
AT4G31550	locus:2125239	AT4G31550	functions in	sequence-specific DNA binding	GO:0043565	22416	F	DNA or RNA binding	IPI	yeast one-hybrid assay	AGI_LocusCode:AT4G31500	Publication:501761574|PMID:25352272  	dkliebenst	2016-09-22
AT4G31550	locus:2125239	AT4G31550	has	sequence-specific DNA binding	GO:0043565	22416	F	DNA or RNA binding	IEA	none	InterPro:IPR003657	AnalysisReference:501756966		2017-04-12
AT4G31550	locus:2125239	AT4G31550	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	IEA	none	InterPro:IPR003657	AnalysisReference:501756966		2017-04-12
AT4G31550	locus:2125239	AT4G31550	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	Recognized domains		Communication:1674991	TAIR	2003-03-29
AT4G31550	locus:2125239	AT4G31550	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	Recognized domains		Publication:1345963|PMID:11118137  	TAIR	2003-06-06
AT4G31550	locus:2125239	AT4G31550	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	Recognized domains		Publication:492|PMID:10785665  	TAIR	2003-03-29
AT4G31550	locus:2125239	AT4G31550	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	none		Publication:492|PMID:10785665  	TIGR	2003-04-17
AT4G31550	locus:2125239	AT4G31550	involved in	defense response to bacterium	GO:0042742	14972	P	response to abiotic or biotic stimulus	IEP	Transcript levels (e.g. RT-PCR)		Publication:501720332|PMID:17114354  	TAIR	2006-12-21
AT4G31550	locus:2125239	AT4G31550	involved in	defense response to bacterium	GO:0042742	14972	P	response to stress	IEP	Transcript levels (e.g. RT-PCR)		Publication:501720332|PMID:17114354  	TAIR	2006-12-21
AT4G31550	locus:2125239	AT4G31550	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other cellular processes	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT4G31550	locus:2125239	AT4G31550	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other cellular processes	ISS	none		Publication:492|PMID:10785665  	TIGR	2003-04-17
AT4G31550	locus:2125239	AT4G31550	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other metabolic processes	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT4G31550	locus:2125239	AT4G31550	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other metabolic processes	ISS	none		Publication:492|PMID:10785665  	TIGR	2003-04-17
AT4G31550	locus:2125239	AT4G31550	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	transcription,DNA-dependent	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT4G31550	locus:2125239	AT4G31550	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	transcription,DNA-dependent	ISS	none		Publication:492|PMID:10785665  	TIGR	2003-04-17
AT4G31550	locus:2125239	AT4G31550	involved in	response to chitin	GO:0010200	17780	P	other biological processes	IEP	Transcript levels (e.g. RT-PCR)		Publication:501722879|PMID:17722694  	TAIR	2008-08-08
AT4G31550	locus:2125239	AT4G31550	involved in	transcription, DNA-templated	GO:0006351	7470	P	transcription,DNA-dependent	IEA	none	UniProtKB-KW:KW-0804	AnalysisReference:501756968		2016-08-01
AT4G31550	locus:2125239	AT4G31550	located in	nucleus	GO:0005634	537	C	nucleus	IC	none	GO:0003700	Publication:492|PMID:10785665  	TAIR	2005-07-14
AT4G31550	locus:2125239	AT4G31550	located in	nucleus	GO:0005634	537	C	nucleus	IEA	none	UniProtKB-SubCell:SL-0191	AnalysisReference:501757241		2017-05-10
AT5G08330	gene:2150802	AT5G08330.1	located in	nucleus	GO:0005634	537	C	nucleus	ISM	predicted protein features		AnalysisReference:501750651	rkaundal	2012-08-31
AT5G08330	locus:2150803	AT5G08330	has	DNA binding	GO:0003677	961	F	DNA or RNA binding	IEA	none	UniProtKB-KW:KW-0238	AnalysisReference:501756968		2016-08-05
AT5G08330	locus:2150803	AT5G08330	has	protein binding	GO:0005515	3877	F	protein binding	IPI	none	UniProtKB:Q9LKL2	Publication:501730049|PMID:19286557  		2016-08-01
AT5G08330	locus:2150803	AT5G08330	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	IDA	none		Publication:501730049|PMID:19286557  		2016-08-01
AT5G08330	locus:2150803	AT5G08330	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	Recognized domains		Publication:1345963|PMID:11118137  	TAIR	2003-06-06
AT5G08330	locus:2150803	AT5G08330	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	manually reviewed TIGR computational analysis	Pfam:PF03634	Communication:501714663	TIGR	2003-04-23
AT5G08330	locus:2150803	AT5G08330	involved in	negative regulation of sequence-specific DNA binding transcription factor activity	GO:0043433	21499	P	other cellular processes	IMP	none		Publication:501730049|PMID:19286557  		2016-08-01
AT5G08330	locus:2150803	AT5G08330	involved in	negative regulation of sequence-specific DNA binding transcription factor activity	GO:0043433	21499	P	other metabolic processes	IMP	none		Publication:501730049|PMID:19286557  		2016-08-01
AT5G08330	locus:2150803	AT5G08330	involved in	negative regulation of sequence-specific DNA binding transcription factor activity	GO:0043433	21499	P	transcription,DNA-dependent	IMP	none		Publication:501730049|PMID:19286557  		2016-08-01
AT5G08330	locus:2150803	AT5G08330	involved in	regulation of circadian rhythm	GO:0042752	14989	P	other biological processes	IMP	none		Publication:501730049|PMID:19286557  		2016-08-01
AT5G08330	locus:2150803	AT5G08330	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other cellular processes	TAS	inferred by author, from sequence similarity		Publication:1345963|PMID:11118137  	TAIR	2011-03-18
AT5G08330	locus:2150803	AT5G08330	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other metabolic processes	TAS	inferred by author, from sequence similarity		Publication:1345963|PMID:11118137  	TAIR	2011-03-18
AT5G08330	locus:2150803	AT5G08330	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	transcription,DNA-dependent	TAS	inferred by author, from sequence similarity		Publication:1345963|PMID:11118137  	TAIR	2011-03-18
AT5G08330	locus:2150803	AT5G08330	involved in	rhythmic process	GO:0048511	19551	P	other biological processes	IEA	none	UniProtKB-KW:KW-0090	AnalysisReference:501756968		2016-08-05
AT5G08330	locus:2150803	AT5G08330	involved in	transcription, DNA-templated	GO:0006351	7470	P	transcription,DNA-dependent	IEA	none	UniProtKB-KW:KW-0804	AnalysisReference:501756968		2016-08-05
AT5G08330	locus:2150803	AT5G08330	located in	nucleus	GO:0005634	537	C	nucleus	IDA	none		Publication:501730049|PMID:19286557  		2016-08-01
AT5G09750	locus:2144791	AT5G09750	involved in	gynoecium development	GO:0048467	18894	P	developmental processes	IGI	triple mutant analysis	AGI_LocusCode:AT5G67060|AGI_LocusCode:AT3G50330	Publication:501766017|PMID:26293302  	TAIR	2015-09-30
AT5G27030	gene:2148567	AT5G27030.1	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	yeast two-hybrid assay	AGI_LocusCode:AT2G28550	Publication:501745851|PMID:22065421  	bcausier	2011-12-22
AT5G47640	gene:2168982	AT5G47640.1	located in	nucleus	GO:0005634	537	C	nucleus	ISM	predicted protein features		AnalysisReference:501750651	rkaundal	2012-08-31
AT5G47640	locus:2168983	AT5G47640	has	protein heterodimerization activity	GO:0046982	15254	F	protein binding	IEA	none	InterPro:IPR009072	AnalysisReference:501756966		2016-08-01
AT5G47640	locus:2168983	AT5G47640	has	sequence-specific DNA binding	GO:0043565	22416	F	DNA or RNA binding	IEA	none	InterPro:IPR003956	AnalysisReference:501756966		2016-08-01
AT5G47640	locus:2168983	AT5G47640	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	Recognized domains		Publication:1345963|PMID:11118137  	TAIR	2003-06-06
AT5G47640	locus:2168983	AT5G47640	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other cellular processes	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT5G47640	locus:2168983	AT5G47640	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other cellular processes	ISS	none		Publication:1345963|PMID:11118137  		2017-07-02
AT5G47640	locus:2168983	AT5G47640	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other metabolic processes	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT5G47640	locus:2168983	AT5G47640	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other metabolic processes	ISS	none		Publication:1345963|PMID:11118137  		2017-07-02
AT5G47640	locus:2168983	AT5G47640	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	transcription,DNA-dependent	IEA	none	UniProtKB-KW:KW-0805	AnalysisReference:501756968		2016-08-01
AT5G47640	locus:2168983	AT5G47640	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	transcription,DNA-dependent	ISS	none		Publication:1345963|PMID:11118137  		2017-07-02
AT5G47640	locus:2168983	AT5G47640	involved in	transcription, DNA-templated	GO:0006351	7470	P	transcription,DNA-dependent	IEA	none	UniProtKB-KW:KW-0804	AnalysisReference:501756968		2016-08-01
AT5G47640	locus:2168983	AT5G47640	located in	nucleus	GO:0005634	537	C	nucleus	IEA	none	UniProtKB-SubCell:SL-0191	AnalysisReference:501756971		2016-08-01
AT5G53290	locus:2154272	AT5G53290	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Bimolecular fluorescence complementation (BiFC)	AGI_LocusCode:AT4G11140	Publication:501742993|PMID:21705390  	arashotte	2011-06-29
AT5G60850	gene:2159274	AT5G60850.1	located in	nucleus	GO:0005634	537	C	nucleus	ISM	predicted protein features		AnalysisReference:501750651	rkaundal	2012-08-31
AT5G60850	locus:2159275	AT5G60850	functions in	DNA binding	GO:0003677	961	F	DNA or RNA binding	ISS	manually reviewed TIGR computational analysis	INTERPRO:IPR003851	Communication:501714663	TIGR	2002-05-09
AT5G60850	locus:2159275	AT5G60850	functions in	transcription regulatory region DNA binding	GO:0044212	33424	F	DNA or RNA binding	IPI	yeast one-hybrid assay	AGI_LocusCode:AT2G34710	Publication:501745632|PMID:22037706  	acgaudin	2014-06-10
AT5G60850	locus:2159275	AT5G60850	functions in	transcription regulatory region DNA binding	GO:0044212	33424	F	nucleic acid binding	IPI	yeast one-hybrid assay	AGI_LocusCode:AT2G34710	Publication:501745632|PMID:22037706  	acgaudin	2014-06-10
AT5G60850	locus:2159275	AT5G60850	has	metal ion binding	GO:0046872	13966	F	other binding	IEA	none	UniProtKB-KW:KW-0479	AnalysisReference:501756968		2016-08-01
AT5G60850	locus:2159275	AT5G60850	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	Recognized domains		Publication:1345963|PMID:11118137  	TAIR	2003-06-06
AT5G60850	locus:2159275	AT5G60850	has	transcription factor activity, sequence-specific DNA binding	GO:0003700	4449	F	transcription factor activity	ISS	Recognized domains		Publication:501682896|PMID:12475498  	TAIR	2006-04-13
AT5G60850	locus:2159275	AT5G60850	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other cellular processes	TAS	inferred by author, from sequence similarity		Publication:1345963|PMID:11118137  	TAIR	2011-03-18
AT5G60850	locus:2159275	AT5G60850	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	other metabolic processes	TAS	inferred by author, from sequence similarity		Publication:1345963|PMID:11118137  	TAIR	2011-03-18
AT5G60850	locus:2159275	AT5G60850	involved in	regulation of transcription, DNA-templated	GO:0006355	7461	P	transcription,DNA-dependent	TAS	inferred by author, from sequence similarity		Publication:1345963|PMID:11118137  	TAIR	2011-03-18
AT5G60850	locus:2159275	AT5G60850	involved in	transcription, DNA-templated	GO:0006351	7470	P	transcription,DNA-dependent	IEA	none	UniProtKB-KW:KW-0804	AnalysisReference:501756968		2016-08-01
AT5G60850	locus:2159275	AT5G60850	located in	nucleus	GO:0005634	537	C	nucleus	IEA	none	UniProtKB-SubCell:SL-0191	AnalysisReference:501756971		2016-08-01
AT5G63470	locus:2167306	AT5G63470	functions in	protein binding	GO:0005515	3877	F	protein binding	IPI	Co-immunoprecipitation	AGI_LocusCode:AT5G47640	Publication:501737874|PMID:20487380  	TAIR	2016-01-29
AT5G67060	locus:2155543	AT5G67060	involved in	gynoecium development	GO:0048467	18894	P	developmental processes	IGI	triple mutant analysis	AGI_LocusCode: AT3G50330|AGI_LocusCode: AT5G09750	Publication:501766017|PMID:26293302  	TAIR	2015-09-30
AT5G67060	locus:2155543	AT5G67060	involved in	transmitting tissue development	GO:0010500	28854	P	developmental processes	IGI	double mutant analysis	AGI_LocusCode:AT3G50330	Publication:501723168|PMID:17855426  	TAIR	2011-03-18
